name,gh_version,pypi_version,status,diffoscope,error
suds-community,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
tfcoreml,2.0,2.0,Success,├── file list, NA
ccm,Failed,Failed,Failed,Error, GH: No version found in setup.py
fairlearn,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
python-consul,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
scrolls,0.0.,0.0.4823123,Success,├── file list setup.cfg, NA
tencentcloud-sdk-python-bmlb,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
auto-ml,..1.1.,2.9.10,Success,├── file list README.md docs setup.cfg, NA
getuseragent,0.0.7,0.0.7,Success,├── file list README.md, NA
squid-py,Failed,Failed,Failed,Error, GH: Could not clone the repo
deebotozmo,0.0.0,4.0.04,Success,├── file list README.md deebotozmo setup.cfg setup.py tests, NA
cvxpy,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
json2,0.4.0,0.4.0,Success,├── file list README.md, NA
girder-large-image-annotation,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
stdlib-list,Failed,Failed,Failed,Error, GH: No setup.py found
castle,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
apispec,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
autoenv,Failed,Failed,Failed,Error, GH: No setup.py found
playback-studio,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
urltools,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
letsencrypt-apache,Failed,Failed,Failed,Error, GH: No setup.py found
sphinxcontrib-contentui,0.2.5,0.2.2,Success,├── file list CHANGES.rst README.rst setup.cfg setup.py sphinxcontrib, NA
pyshark-legacy,Failed,Failed,Failed,Error, GH: No setup.py found
url64,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
ocspresponder,Failed,Failed,Failed,Error, GH: Could not clone the repo
uri-template,Failed,Failed,Failed,Error, GH: Could not clone the repo
certbot-dns-google,Failed,Failed,Failed,Error, GH: No setup.py found
python-ulid,Failed,Failed,Failed,Error, GH: No setup.py found
pyquil,Failed,Failed,Failed,Error, GH: No setup.py found
gcsfs,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
mtaf,Failed,Failed,Failed,Error, GH: No setup.py found
engarde,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
djangorestframework-guardian,Failed,Failed,Failed,Error, GH: No version found in setup.py
fakenewsredis,0.10.0,0.10.1,Success,├── file list README.rst fakenewsredis.py setup.cfg setup.py, NA
snipsfakeweather,1.1.1.2,1.1.1.2,Success,├── file list setup.cfg snipsfakeweather, NA
hipnotify,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
robojslib,Failed,Failed,Failed,Error, GH: Could not clone the repo
pydevd,Failed,Failed,Failed,Error, GH: Could not clone the repo
genshinstats,1.4.11.3,1.4.11.3,Success,├── file list LICENSE README.md genshinstats setup.py, NA
scikit-plot,0.3.7,0.3.7,Success,├── file list scikitplot, NA
better-setuptools-git-version,1.0.5,1.0.5,Success,├── file list, NA
mypy-boto3-ssm,Failed,Failed,Failed,Error, GH: No setup.py found
bloscpack,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
xleditor,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
django-docopt-command,1.1.0,1.1.0,Success,├── file list, NA
rapidfuzz,Failed,Failed,Failed,Error, GH: No version found in setup.py
sxl,0.0.19,0.0.110,Success,├── file list setup.py sxl, NA
vega,Failed,Failed,Failed,Error, GH: No setup.py found
splot,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
dcoscli,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
xgboost-ray,0.1.17,0.1.10,Success,├── file list .github .gitignore format.sh run_ci_examples.sh run_ci_tests.sh setup.py xgboost_ray, NA
mypy-boto3-kinesis-video-signaling,Failed,Failed,Failed,Error, GH: Could not clone the repo
rikai,Failed,Failed,Failed,Error, GH: No setup.py found
jsdaily,Failed,Failed,Failed,Error, GH: Could not clone the repo
dicomrttool,2.0.8,2.0.8,Success,├── file list LICENSE.txt MANIFEST.in README.md setup.py src, NA
badx12,Failed,Failed,Failed,Error, GH: No setup.py found
profanity,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
sphinx-inline-tabs,Failed,Failed,Failed,Error, GH: No setup.py found
edc-registration,Failed,Failed,Failed,Error, GH: No setup.py found
hupper,Failed,Failed,Failed,Error, GH: No version found in setup.py
aws-cdk-aws-elasticache,Failed,Failed,Failed,Error, GH: No setup.py found
paginate,0.5.6,0.5.6,Success,├── file list CHANGELOG.txt README.md paginate paginate.egg-info setup.py, NA
java-access-bridge-wrapper,Failed,Failed,Failed,Error, GH: No setup.py found
assemblyline-v4-service,Failed,Failed,Failed,Error, GH: Could not clone the repo
tf-agents,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
spglm,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
orjson,Failed,Failed,Failed,Error, GH: No setup.py found
ueagle,0.0.2,0.0.2,Success,├── file list uEagle, NA
mocket,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
snmpfwd,Failed,Failed,Failed,Error, GH: No version found in setup.py
pynwb,Failed,Failed,Failed,Error, GH: No version found in setup.py
pyformat,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
telegraph,2.2.0,2.2.0,Success,├── file list, NA
pycksum,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
anime-downloader,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
uproot,Failed,Failed,Failed,Error, GH: No setup.py found
gapic-google-cloud-vision-v1,Failed,Failed,Failed,Error, GH: No setup.py found
wtforms-jsonschema2,...2,0.7.0,Success,├── file list setup.cfg, NA
sc2gamelobby,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
thriftrw,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
dataclassy,1.0.1,1.0.1,Success,├── file list, NA
mypy-boto3-polly,Failed,Failed,Failed,Error, GH: Could not clone the repo
lahc,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pydfs-lineup-optimizer,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
colorgram-py,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
authorizenet,1.1.4,1.1.4,Success,├── file list README.md authorizenet setup.cfg setup.py, NA
bof,0.3.5,0.3.5,Success,├── file list bof setup.cfg setup.py, NA
ngxtop,0.0.3,0.0.3,Success,├── file list setup.cfg, NA
robotframework-excellib,2.0.1,2.0.1,Success,├── file list setup.cfg src, NA
nipyapi,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
ipinfo,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
scalapb-pants,Failed,Failed,Failed,Error, GH: No setup.py found
xlearn,Failed,Failed,Failed,Error, GH: No setup.py found
centerline,Failed,Failed,Failed,Error, GH: No version found in setup.py
sense-hat,2.4.0,2.4.0,Success,├── file list sense_hat, NA
epiweeks-barc,0.0.1,0.0.1,Success,├── file list src, NA
pyvisa-py,Failed,Failed,Failed,Error, GH: No version found in setup.py
pytime,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
ramos,1.4.0,1.4.0,Success,├── file list README.rst ramos setup.cfg setup.py, NA
roffio,Failed,Failed,Failed,Error, GH: No version found in setup.py
gradient,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
import-string,0.1.0,0.1.0,Success,├── file list README.rst docs setup.cfg, NA
pyzstd,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
htsprophet,0.1.1,0.1.0,Success,├── file list htsprophet setup.cfg setup.py, NA
broshelp,Failed,Failed,Failed,Error, GH: Could not clone the repo
tgcalls,..0,..0,Failed,Error, Not Error from GithHub PyPi: Could not fetch PyPi Source
hypua2jamo,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
google-cloud-testutils,1.3.3,1.3.3,Success,├── file list setup.cfg, NA
messengeruvvs,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
stillson,Failed,Failed,Failed,Error, GH: Could not clone the repo
parsec,3.15,3.15,Success,├── file list setup.cfg src, NA
http,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
python-speech-features,0.6.1,0.6,Success,├── file list README.rst python_speech_features setup.py, NA
poolsense,0.1.0,0.1.0,Success,├── file list, NA
saspy,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
dukedsclient,3.4.0,2.0.2,Success,├── file list DukeDS README.md ddsc setup.cfg setup.py, NA
django-appdata,Failed,Failed,Failed,Error, GH: Could not clone the repo
honeybee-standards,Failed,Failed,Failed,Error, GH: No version found in setup.py
azure-cli-interactive,Failed,Failed,Failed,Error, GH: No setup.py found
nlp,2.13.2.0...0...1..,0.4.0,Success,├── file list README.md setup.cfg setup.py src, NA
cryptosteganography,0.8.2,0.8.3,Success,├── file list README.rst requirements.txt setup.cfg setup.py src, NA
pystemmer,Failed,Failed,Failed,Error, GH: Could not clone the repo
pyupbit,0.2.33,0.2.33,Success,├── file list README.md pyupbit, NA
reqman,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
stable-baselines,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
python-mpd2,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
performer-pytorch,1.1.4,1.1.4,Success,├── file list, NA
ceph-deploy,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
urlman,2.0.1,2.0.1,Success,├── file list setup.cfg urlman, NA
gspread-pandas,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pycksum,Failed,Failed,Failed,Error, GH: Could not clone the repo
skia-pathops,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
tinyaes,1.1.00,1.0.4,Success,├── file list LICENSE.txt README.md setup.py tiny-AES-c, NA
speak2mary,1.5.0,1.5.0,Success,├── file list README.md, NA
aws-cdk-aws-robomaker,Failed,Failed,Failed,Error, GH: Could not clone the repo
hap-python,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
django-bootstrap-toolkit,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
newrelic-asyncpg,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
ssh-ldap-pubkey,1.4.0,1.4.0,Success,├── file list setup.cfg, NA
graphyte,.1,1.7.1,Success,├── file list, NA
scratch2py,0.7.1,0.7.1,Success,├── file list LICENSE README.md, NA
autoclasstoc,Failed,Failed,Failed,Error, GH: No setup.py found
jaraco-apt,Failed,Failed,Failed,Error, GH: No setup.py found
tencentcloud-sdk-python-youmall,Failed,Failed,Failed,Error, GH: Could not clone the repo
pysma,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
cloudscrape,0.4,0.4,Failed,Error, Not Error from GithHub PyPi: Could not fetch PyPi Source
pytest-reverse,Failed,Failed,Failed,Error, GH: No setup.py found
django-dynamic-db-router,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pcg-gazebo,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
durable-rules,2.0.28,2.0.28,Success,├── file list docs libpy src, NA
astral,Failed,Failed,Failed,Error, GH: No setup.py found
hmf,Failed,Failed,Failed,Error, GH: No version found in setup.py
pwclip,Failed,Failed,Failed,Error, GH: No setup.py found
validatesns,0.1.1,0.1.1,Success,├── file list src, NA
pylibjpeg-openjpeg,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
python-eq3bt,Failed,Failed,Failed,Error, GH: No setup.py found
aws-cdk-lambda-layer-awscli,Failed,Failed,Failed,Error, GH: Could not clone the repo
sagemaker-tensorflow,Failed,Failed,Failed,Error, GH: Could not clone the repo
pymitter,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
aiocoap,Failed,Failed,Failed,Error, GH: No version found in setup.py
hanlp,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
aws-cdk-aws-nimblestudio,Failed,Failed,Failed,Error, GH: Could not clone the repo
django-menu-generator,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
fortiosapi,1.0.5,1.0.5,Success,├── file list fortiosapi tests, NA
osysid,0.2.2,0.1.9,Success,├── file list README.md setup.py, NA
pytest-emoji,0.2.0,0.2.0,Success,├── file list LICENSE setup.cfg src tests, NA
eip712,Failed,Failed,Failed,Error, GH: No version found in setup.py
natural,0.2.0,0.2.0,Success,├── file list README natural PKG-INFO, NA
digimat-saia,0.1.64,0.1.67,Success,├── file list README.rst setup.py src, NA
python-pcre,0.7,0.7,Success,├── file list test, NA
faust-streaming,Failed,Failed,Failed,Error, GH: No version found in setup.py
dataclasses-avroschema,Failed,Failed,Failed,Error, GH: No setup.py found
sklearn2pmml,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
sweetviz,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
mendelai-ipc,Failed,Failed,Failed,Error, GH: Could not clone the repo
labelimg,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
radwave,1.0.8,1.0.8,Success,, NA
cdk-aurora-globaldatabase,Failed,Failed,Failed,Error, GH: No setup.py found
simplefix,1.0.15,1.0.15,Success,├── file list README.rst setup.py simplefix test, NA
pytest-pudb,0.7.0,0.7.0,Success,├── file list setup.cfg, NA
roulette-russe,Failed,Failed,Failed,Error, GH: Could not clone the repo
pennylane-lightning,.1.1.,0.30.0,Success,├── file list README.rst pennylane_lightning requirements.txt setup.py, NA
pydictionary,2.0.1,2.0.1,Success,├── file list PyDictionary README.md, NA
confidential-ml-utils,Failed,Failed,Failed,Error, GH: Could not clone the repo
tencentcloud-sdk-python-tdmq,Failed,Failed,Failed,Error, GH: Could not clone the repo
indexed-bzip2,Failed,Failed,Failed,Error, GH: No setup.py found
scalr-manage,Failed,Failed,Failed,Error, GH: Could not clone the repo
pegasi,Failed,Failed,Failed,Error, GH: Could not clone the repo
django-multiselectfield,0.1.12,0.1.12,Success,├── file list multiselectfield, NA
azure-mgmt-netapp,Failed,Failed,Failed,Error, GH: No version found in setup.py
dhclientlist,0.0.6,0.0.6,Failed,Error, Not Error from GithHub PyPi: Could not fetch PyPi Source
tensorci-client,0.0.14,0.0.14,Success,├── file list, NA
aliyunsdkcore,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
elastic,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
azure-mgmt-sql,Failed,Failed,Failed,Error, GH: Could not clone the repo
thumbor,Failed,Failed,Failed,Error, GH: Could not clone the repo
kubernetes-asyncio,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
wakatime,Failed,Failed,Failed,Error, GH: Could not clone the repo
topology-lib-ping,Failed,Failed,Failed,Error, GH: Could not clone the repo
zope-globalrequest,2.1.0,2.0,Success,├── file list CHANGES.rst setup.cfg setup.py src, NA
dagster-mysql,Failed,Failed,Failed,Error, GH: Could not clone the repo
retrypy,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
mkdocs-exclude,1.0.2,1.0.2,Success,├── file list, NA
typer,Failed,Failed,Failed,Error, GH: No setup.py found
aiohttp-swagger3,3.,0.7.4,Success,├── file list setup.cfg, NA
http-ece,Failed,Failed,Failed,Error, GH: Could not clone the repo
related,0.7.3,0.7.3,Success,├── file list setup.cfg src tests tox.ini, NA
libconf,2.0.1,2.0.1,Success,├── file list setup.cfg, NA
pyfolio,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pylife,Failed,Failed,Failed,Error, GH: No version found in setup.py
pyaesni,0.16,0.16,Success,├── file list, NA
tencentcloud-sdk-python-btoe,Failed,Failed,Failed,Error, GH: Could not clone the repo
bz2file,0.98,0.98,Success,├── file list README.rst, NA
ccy,Failed,Failed,Failed,Error, GH: No setup.py found
yotta,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
cdifflib,1.2.6,1.2.6,Success,├── file list, NA
gtts,Failed,Failed,Failed,Error, GH: No setup.py found
pytest-reraise,Failed,Failed,Failed,Error, GH: No setup.py found
mypy-zope,Failed,Failed,Failed,Error, GH: No version found in setup.py
pinotdb,Failed,Failed,Failed,Error, GH: No setup.py found
invenio-celery,Failed,Failed,Failed,Error, GH: No version found in setup.py
google-cloud-memcache,Failed,Failed,Failed,Error, GH: No setup.py found
interpret-core,Failed,Failed,Failed,Error, GH: No setup.py found
shioaji,Failed,Failed,Failed,Error, GH: No setup.py found
tencentcloud-sdk-python-privatedns,Failed,Failed,Failed,Error, GH: Could not clone the repo
torchfile,0.1.0,0.1.0,Success,├── file list torchfile.py, NA
paddlehub,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
yamlordereddictloader,0.4.1,0.4.0,Success,├── file list README.rst setup.py, NA
sqlalchemy-filters,0.13.0,0.13.0,Success,├── file list setup.cfg, NA
importlib-metadata,Failed,Failed,Failed,Error, GH: No setup.py found
kenv,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
georaptor,2.0.3,2.0.3,Success,├── file list setup.cfg test, NA
pycoolmasternet-async,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pycontrol4,1.1.0,1.1.0,Success,├── file list, NA
thingy,0.10.0,0.10.0,Success,├── file list setup.cfg, NA
rgbnotes,Failed,Failed,Failed,Error, GH: Could not clone the repo
12factor-configclasses,Failed,Failed,Failed,Error, GH: No setup.py found
autowoe,Failed,Failed,Failed,Error, GH: No setup.py found
flynt,Failed,Failed,Failed,Error, GH: No setup.py found
paddle2onnx,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
livejson,Failed,Failed,Failed,Error, GH: Could not clone the repo
dbnd-docker,Failed,Failed,Failed,Error, GH: No version found in setup.py
pyspark-stubs,3.0.0.4,3.0.0.3,Success,├── file list setup.py third_party, NA
mypy-boto3-mediaconvert,Failed,Failed,Failed,Error, GH: Could not clone the repo
slither-analyzer,0.9.4,0.9.3,Success,├── file list README.md setup.py slither tests, NA
google-images-download,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pyacoustid,1.2.2,1.2.2,Success,├── file list README.rst acoustid.py chromaprint.py, NA
qb-solver,0.1.9,0.1.9,Success,├── file list README.md qb_solver, NA
vdf,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
akro,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
jupyter-bokeh,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
torchviz,Failed,Failed,Failed,Error, GH: Could not clone the repo
bqtools-json,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pyramid-tablib,0.2,0.2,Success,├── file list src, NA
molecule-inspec,Failed,Failed,Failed,Error, GH: No version found in setup.py
pycrypt,0.7.2,0.7.2,Success,├── file list, NA
pytradfri,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
proximityhash,1.0.1,1.0.1,Success,├── file list setup.cfg, NA
libra-client,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pytest-instafail,0.5.0,0.5.0,Success,├── file list setup.cfg, NA
logging-mv-integrations,Failed,Failed,Failed,Error, GH: Could not clone the repo
django-registration,Failed,Failed,Failed,Error, GH: Could not clone the repo
torchtraining-nightly,Failed,Failed,Failed,Error, GH: Could not clone the repo
vodafone-ie-account-checker,1.0.7,1.0.7,Failed,Error, Not Error from GithHub PyPi: Could not fetch PyPi Source
runez,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
meutils,Failed,Failed,Failed,Error, GH: Could not clone the repo
geetools,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pythondata-cpu-mor1kx,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pdfx,1.4.1,1.4.1,Success,├── file list README.md setup.cfg, NA
pyexecjs,1.5.1,1.5.1,Success,├── file list README.md, NA
logging-test-case,1.4.1,1.4.1,Success,├── file list LICENSE README.rst loggingtestcase setup.py, NA
markdown-inline-graphviz-extension,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
amqplib,1.0.2,1.0.2,Failed,Error, Not Error from GithHub PyPi: Could not fetch PyPi Source
girder-large-image,Failed,Failed,Failed,Error, GH: Could not clone the repo
flake8,Failed,Failed,Failed,Error, GH: No version found in setup.py
boto3-type-annotations,Failed,Failed,Failed,Error, GH: No setup.py found
pytest-live,Failed,Failed,Failed,Error, GH: Could not clone the repo
royalpack,Failed,Failed,Failed,Error, GH: No setup.py found
zope-container,5.2.0,5.1,Success,├── file list CHANGES.rst setup.cfg setup.py src, NA
pyqrcode,1.2.1,1.2.1,Success,├── file list, NA
django-redis,Failed,Failed,Failed,Error, GH: No version found in setup.py
py-trading,Failed,Failed,Failed,Error, GH: No setup.py found
exscript,Failed,Failed,Failed,Error, GH: Could not clone the repo
finance-python,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
numpy-sugar,Failed,Failed,Failed,Error, GH: No setup.py found
dom-toml,Failed,Failed,Failed,Error, GH: No setup.py found
pygeodiff,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
isjosh18,0.12,0.12,Success,├── file list test, NA
scaleapi,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
ggwp,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
gbd-tools,4.3.5,4.5.9,Success,├── file list gbd.py gbd_core gbd_init gbd_server server.py setup.py, NA
genshinstats,Failed,Failed,Failed,Error, GH: Could not clone the repo
aws-cdk-aws-sagemaker,Failed,Failed,Failed,Error, GH: Could not clone the repo
pseutopy,2.0.2,3.0.8,Success,├── file list README.rst src, NA
pygmail,0.0.5,0.0.5.4,Success,├── file list gmail setup.py, NA
addressable,Failed,Failed,Failed,Error, GH: Could not clone the repo
objex,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
awsiotsdk,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
concurrent-log-handler,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
mmh3cffi,0.2.1,0.2.1,Success,├── file list, NA
torch-lr-finder,0.2.1,0.2.1,Success,├── file list torch_lr_finder, NA
dbdaora,Failed,Failed,Failed,Error, GH: No setup.py found
fleece,Failed,Failed,Failed,Error, GH: No setup.py found
check50,3.3.7,3.3.7,Success,├── file list README.md setup.cfg setup.py, NA
xs1-api-client,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pyobjc-framework-coretext,Failed,Failed,Failed,Error, GH: No setup.py found
metar,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
types-cachetools,Failed,Failed,Failed,Error, GH: No setup.py found
django-fobi,Failed,Failed,Failed,Error, GH: Could not clone the repo
pyobjc-framework-cfnetwork,Failed,Failed,Failed,Error, GH: Could not clone the repo
hedgehog-station-controller,Failed,Failed,Failed,Error, GH: Could not clone the repo
bytecode,Failed,Failed,Failed,Error, GH: No version found in setup.py
gpustat,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
giotto-tda-nightly,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pyobjc-framework-coredata,Failed,Failed,Failed,Error, GH: Could not clone the repo
pytradfri,Failed,Failed,Failed,Error, GH: Could not clone the repo
httpcore,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
quantulum3,3.,0.9.0,Success,├── file list README.md quantulum3, NA
mem-top,0.2.1,0.2.1,Success,├── file list, NA
ghp-import,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
wrap,2018.03.01,2018.03.01,Failed,Error, Not Error from GithHub PyPi: Could not fetch PyPi Source
mypy-boto3-iotfleethub,Failed,Failed,Failed,Error, GH: Could not clone the repo
wolfram-model,Failed,Failed,Failed,Error, GH: No setup.py found
pythondata-misc-tapcfg,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pyqt5-stubs,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
grpc-google-iam-v1,Failed,Failed,Failed,Error, GH: Could not clone the repo
faadelays,0.0.7,0.0.7,Success,├── file list, NA
python-resize-image,1.1.20,1.1.20,Success,├── file list setup.cfg tests, NA
line-profiler,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
redisq,Failed,Failed,Failed,Error, GH: Could not clone the repo
mmcls,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
urlman,Failed,Failed,Failed,Error, GH: Could not clone the repo
ibm-cos-sdk,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
plover-phenrsteno,Failed,Failed,Failed,Error, GH: No setup.py found
env,0.1.1,0.1.0,Success,├── file list env.py setup.cfg setup.py, NA
apispec-oneofschema,3.0.0,3.0.0,Success,├── file list README.md setup.py, NA
r53-register,0.1.7,0.1.7,Success,├── file list, NA
base36,0.1.1,0.1.1,Success,├── file list README.rst setup.cfg, NA
mypy-boto3-directconnect,Failed,Failed,Failed,Error, GH: Could not clone the repo
drf-access-policy,1.5.0,1.5.0,Success,├── file list, NA
django-redshift-backend,Failed,Failed,Failed,Error, GH: No version found in setup.py
flake8-file-encoding,Failed,Failed,Failed,Error, GH: No setup.py found
squareconnect,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
locu,0.1.1,0.1,Success,├── file list locu setup.py, NA
