project, status, reproducibleVariants, nonReproducibleVariants, stars
gopkg.in/cheggaaa/pb.v1, Fully Reproducible, ['all'], [], 3459
github.com/cespare/xxhash/v2, Fully Reproducible, ['all'], [], 1453
github.com/go-logfmt/logfmt, Fully Reproducible, ['all'], [], 156
github.com/google/btree, Fully Reproducible, ['all'], [], 3324
go.uber.org/atomic, Fully Reproducible, ['all'], [], 1109
gopkg.in/yaml.v3, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'], 6301
github.com/kelseyhightower/envconfig, Fully Reproducible, ['all'], [], 4579
github.com/davecgh/go-spew, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5311
github.com/moby/buildkit, Fully Reproducible, ['all'], [], 6887
github.com/prometheus/prometheus, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 48959
github.com/hashicorp/raft, Fully Reproducible, ['all'], [], 7219
github.com/sourcegraph/go-diff, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 388
github.com/shirou/gopsutil/v3, Fully Reproducible, ['all'], [], 9200
github.com/googleapis/gax-go/v2, Fully Reproducible, ['all'], [], 165
github.com/swaggo/swag, Fully Reproducible, ['all'], [], 8385
github.com/peterbourgon/diskv, Fully Reproducible, ['all'], [], 1113
github.com/hashicorp/golang-lru, Fully Reproducible, ['all'], [], 3536
github.com/jinzhu/now, Fully Reproducible, ['all'], [], 3985
github.com/google/gofuzz, Fully Reproducible, ['all'], [], 1406
github.com/golang-jwt/jwt/v4, Fully Reproducible, ['all'], [], 4503
github.com/go-openapi/swag, Fully Reproducible, ['all'], [], 156
github.com/cenkalti/backoff/v4, Fully Reproducible, ['all'], [], 2885
github.com/ugorji/go, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'], 1750
github.com/mitchellh/go-wordwrap, Fully Reproducible, ['all'], [], 69
github.com/creack/pty, Fully Reproducible, ['all'], [], 1412
github.com/nats-io/gnatsd, Fully Reproducible, ['all'], [], 12992
github.com/rs/zerolog, Fully Reproducible, ['all'], [], 8436
github.com/lestrrat-go/jwx, Fully Reproducible, ['all'], [], 1540
github.com/coreos/go-systemd, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2177
github.com/pkg/profile, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'], 1868
github.com/mholt/archiver, Fully Reproducible, ['all'], [], 4003
gopkg.in/macaron.v1, Fully Reproducible, ['all'], [], 3352
google.golang.org/appengine, Fully Reproducible, ['all'], [], 635
github.com/yuin/gopher-lua, Fully Reproducible, ['all'], [], 5452
github.com/mattn/go-colorable, Fully Reproducible, ['all'], [], 685
honnef.co/go/tools, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5279
github.com/minio/minio-go, Fully Reproducible, ['all'], [], 1968
github.com/mattn/go-shellwords, Fully Reproducible, ['all'], [], 372
github.com/go-ldap/ldap, Fully Reproducible, ['all'], [], 1978
github.com/pingcap/tidb, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 34330
github.com/kevinburke/ssh_config, Fully Reproducible, ['all'], [], 323
github.com/gorilla/context, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 411
github.com/dlclark/regexp2, Fully Reproducible, ['all'], [], 792
github.com/spaolacci/murmur3, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 531
github.com/onsi/ginkgo, Fully Reproducible, ['all'], [], 7226
go.mongodb.org/mongo-driver, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 7503
github.com/antchfx/xpath, Fully Reproducible, ['all'], [], 548
github.com/ulikunitz/xz, Fully Reproducible, ['all'], [], 417
github.com/robertkrimen/otto, Fully Reproducible, ['all'], [], 7188
gopkg.in/gomail.v2, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3960
github.com/golang/snappy, Fully Reproducible, ['all'], [], 1309
github.com/aws/aws-sdk-go, Fully Reproducible, ['all'], [], 8154
github.com/huin/goupnp, Fully Reproducible, ['all'], [], 373
github.com/smartystreets/goconvey, Fully Reproducible, ['all'], [], 7802
cloud.google.com/go, Fully Reproducible, ['all'], [], 3326
github.com/mitchellh/go-ps, Fully Reproducible, ['all'], [], 918
github.com/gdamore/tcell, Fully Reproducible, ['all'], [], 3987
github.com/golang/groupcache, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 12155
gorm.io/gorm, Fully Reproducible, ['all'], [], 32841
github.com/cheggaaa/pb, Fully Reproducible, ['all'], [], 3459
github.com/jstemmer/go-junit-report, Fully Reproducible, ['all'], [], 657
go.etcd.io/etcd/raft/v3, Fully Reproducible, ['all'], [], 43902
github.com/subosito/gotenv, Fully Reproducible, ['all'], [], 249
github.com/json-iterator/go, Fully Reproducible, ['all'], [], 12388
github.com/pquerna/otp, Fully Reproducible, ['all'], [], 1589
github.com/coreos/etcd, Fully Reproducible, ['all'], [], 43902
github.com/hashicorp/go-hclog, Fully Reproducible, ['all'], [], 275
github.com/dustin/go-humanize, Fully Reproducible, ['all'], [], 3460
github.com/gobuffalo/packr, Fully Reproducible, ['all'], [], 3335
github.com/alecthomas/chroma, Fully Reproducible, ['all'], [], 3835
github.com/jarcoal/httpmock, Fully Reproducible, ['all'], [], 1583
github.com/felixge/httpsnoop, Fully Reproducible, ['all'], [], 756
google.golang.org/api, Fully Reproducible, ['all'], [], 3501
github.com/hashicorp/memberlist, Fully Reproducible, ['all'], [], 2992
github.com/hashicorp/serf, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5536
github.com/jackc/pgx, Fully Reproducible, ['all'], [], 7353
gopkg.in/gcfg.v1, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 161
github.com/gotestyourself/gotestyourself, Fully Reproducible, ['all'], [], 437
github.com/opencontainers/runc, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 10378
github.com/google/martian, Fully Reproducible, ['all'], [], 1886
github.com/hashicorp/go-multierror, Fully Reproducible, ['all'], [], 1230
github.com/coreos/go-semver, Fully Reproducible, ['all'], [], 307
github.com/russross/blackfriday/v2, Fully Reproducible, ['all'], [], 5184
github.com/coredns/coredns, Fully Reproducible, ['all'], [], 10786
github.com/andybalholm/brotli, Fully Reproducible, ['all'], [], 466
github.com/kisielk/gotool, Fully Reproducible, ['all'], [], 59
github.com/go-kit/kit, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 25159
gopkg.in/gorp.v1, Fully Reproducible, ['all'], [], 3621
gopkg.in/fsnotify.v1, Fully Reproducible, ['all'], [], 8006
github.com/jtolds/gls, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 532
github.com/nicksnyder/go-i18n, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2261
github.com/urfave/cli/v2, Fully Reproducible, ['all'], [], 20367
github.com/valyala/bytebufferpool, Fully Reproducible, ['all'], [], 864
k8s.io/klog, Fully Reproducible, ['all'], [], 462
github.com/klauspost/cpuid, Fully Reproducible, ['all'], [], 834
github.com/elazarl/goproxy, Fully Reproducible, ['all'], [], 5423
github.com/xlab/treeprint, Fully Reproducible, ['all'], [], 348
github.com/chzyer/readline, Fully Reproducible, ['all'], [], 1821
go.uber.org/multierr, Fully Reproducible, ['all'], [], 781
github.com/hashicorp/go-uuid, Fully Reproducible, ['all'], [], 144
go.opentelemetry.io/otel/sdk, Fully Reproducible, ['all'], [], 4020
github.com/spf13/cobra, Fully Reproducible, ['all'], [], 32423
github.com/satori/go.uuid, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 4648
github.com/lunixbochs/vtclean, Fully Reproducible, ['all'], [], 85
github.com/peterh/liner, Fully Reproducible, ['all'], [], 887
github.com/mdlayher/netlink, Fully Reproducible, ['all'], [], 792
github.com/gobuffalo/flect, Fully Reproducible, ['all'], [], 91
github.com/spf13/cast, Fully Reproducible, ['all'], [], 2915
github.com/gobwas/glob, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 851
github.com/patrickmn/go-cache, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 7198
github.com/gliderlabs/ssh, Fully Reproducible, ['all'], [], 2946
google.golang.org/grpc, Fully Reproducible, ['all'], [], 18384
gopkg.in/natefinch/lumberjack.v2, Fully Reproducible, ['all'], [], 4132
github.com/edsrzf/mmap-go, Fully Reproducible, ['all'], [], 661
github.com/libp2p/go-libp2p, Fully Reproducible, ['all'], [], 5290
gopkg.in/airbrake/gobrake.v2, Fully Reproducible, ['all'], [], 98
github.com/oklog/ulid, Fully Reproducible, ['all'], [], 3505
github.com/fsouza/go-dockerclient, Fully Reproducible, ['all'], [], 2050
cloud.google.com/go/datastore, Fully Reproducible, ['all'], [], 3326
cloud.google.com/go/storage, Fully Reproducible, ['all'], [], 3326
github.com/armon/go-radix, Fully Reproducible, ['all'], [], 568
github.com/mholt/caddy, Fully Reproducible, ['all'], [], 48011
github.com/urfave/cli, Fully Reproducible, ['all'], [], 20367
github.com/hashicorp/yamux, Fully Reproducible, ['all'], [], 1775
github.com/mistifyio/go-zfs, Fully Reproducible, ['all'], [], 108
github.com/alicebob/miniredis, Fully Reproducible, ['all'], [], 2626
github.com/rs/cors, Fully Reproducible, ['all'], [], 2384
github.com/containerd/containerd, Fully Reproducible, ['all'], [], 13073
github.com/influxdb/influxdb, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 25778
github.com/aws/aws-sdk-go-v2, Fully Reproducible, ['all'], [], 2053
github.com/gorilla/securecookie, Fully Reproducible, ['all'], [], 608
github.com/jonboulle/clockwork, Fully Reproducible, ['all'], [], 448
github.com/nats-io/stan.go, Fully Reproducible, ['all'], [], 684
github.com/rs/xid, Fully Reproducible, ['all'], [], 3299
github.com/google/uuid, Fully Reproducible, ['all'], [], 4113
github.com/coreos/go-oidc, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1504
github.com/nsf/termbox-go, Fully Reproducible, ['all'], [], 4291
github.com/ncw/rclone, Fully Reproducible, ['all'], [], 39149
github.com/gorilla/websocket, Fully Reproducible, ['all'], [], 19170
github.com/hashicorp/go-plugin, Fully Reproducible, ['all'], [], 4420
github.com/gorilla/mux, Fully Reproducible, ['all'], [], 18190
github.com/justinas/alice, Fully Reproducible, ['all'], [], 2782
github.com/google/cadvisor, Fully Reproducible, ['all'], [], 15207
github.com/sirupsen/logrus, Fully Reproducible, ['all'], [], 22747
github.com/go-redsync/redsync, Fully Reproducible, ['all'], [], 2560
github.com/graphql-go/graphql, Fully Reproducible, ['all'], [], 9275
go.etcd.io/etcd/client/v3, Fully Reproducible, ['all'], [], 43902
github.com/godbus/dbus, Fully Reproducible, ['all'], [], 862
github.com/mitchellh/cli, Fully Reproducible, ['all'], [], 1604
github.com/denisenkom/go-mssqldb, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'], 1661
github.com/huandu/xstrings, Fully Reproducible, ['all'], [], 1133
github.com/syndtr/goleveldb, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5744
github.com/go-playground/validator, Fully Reproducible, ['all'], [], 13432
github.com/jpillora/backoff, Fully Reproducible, ['all'], [], 518
github.com/swaggo/gin-swagger, Fully Reproducible, ['all'], [], 3040
github.com/xeipuuv/gojsonschema, Fully Reproducible, ['all'], [], 1857
github.com/beevik/etree, Fully Reproducible, ['all'], [], 1082
github.com/go-redis/redis, Fully Reproducible, ['all'], [], 17472
go.etcd.io/etcd/tests/v3, Fully Reproducible, ['all'], [], 43902
github.com/gobuffalo/envy, Fully Reproducible, ['all'], [], 147
github.com/otiai10/copy, Fully Reproducible, ['all'], [], 564
github.com/onsi/gomega, Fully Reproducible, ['all'], [], 1914
github.com/bmatcuk/doublestar, Fully Reproducible, ['all'], [], 365
github.com/valyala/fasthttp, Fully Reproducible, ['all'], [], 19718
github.com/pkg/sftp, Fully Reproducible, ['all'], [], 1305
github.com/andybalholm/cascadia, Fully Reproducible, ['all'], [], 602
github.com/ziutek/mymysql, Fully Reproducible, ['all'], [], 725
github.com/go-telegram-bot-api/telegram-bot-api, Fully Reproducible, ['all'], [], 4696
github.com/boombuler/barcode, Fully Reproducible, ['all'], [], 1262
github.com/dgraph-io/badger, Fully Reproducible, ['all'], [], 12429
github.com/ryanuber/columnize, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 152
github.com/yudai/gojsondiff, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 483
github.com/go-sql-driver/mysql, Fully Reproducible, ['all'], [], 13452
github.com/hashicorp/go-msgpack, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 61
github.com/gin-gonic/gin, Fully Reproducible, ['all'], [], 69835
github.com/hashicorp/go-sockaddr, Fully Reproducible, ['all'], [], 217
github.com/goreleaser/goreleaser, Fully Reproducible, ['all'], [], 11841
github.com/eapache/queue, Fully Reproducible, ['all'], [], 473
github.com/buger/jsonparser, Fully Reproducible, ['all'], [], 4892
go.etcd.io/etcd/pkg/v3, Fully Reproducible, ['all'], [], 43902
github.com/go-playground/universal-translator, Fully Reproducible, ['all'], [], 311
github.com/getsentry/raven-go, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 555
github.com/BurntSushi/toml, Fully Reproducible, ['all'], [], 4233
github.com/briandowns/spinner, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'], 2015
github.com/hashicorp/consul/api, Fully Reproducible, ['all'], [], 26626
github.com/lucasb-eyer/go-colorful, Fully Reproducible, ['all'], [], 916
github.com/docker/go-units, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 154
github.com/openzipkin/zipkin-go, Fully Reproducible, ['all'], [], 552
github.com/containerd/typeurl, Fully Reproducible, ['all'], [], 48
github.com/hashicorp/vault/sdk, Fully Reproducible, ['all'], [], 27976
github.com/urfave/negroni, Fully Reproducible, ['all'], [], 7334
cloud.google.com/go/compute, Fully Reproducible, ['all'], [], 3326
k8s.io/client-go, Fully Reproducible, ['all'], [], 6751
github.com/mattn/go-isatty, Fully Reproducible, ['all'], [], 705
github.com/hpcloud/tail, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2376
github.com/cloudflare/cfssl, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 7718
github.com/prometheus/common, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 235
github.com/cenkalti/backoff, Fully Reproducible, ['all'], [], 2885
github.com/opentracing/opentracing-go, Fully Reproducible, ['all'], [], 3299
github.com/leodido/go-urn, Fully Reproducible, ['all'], [], 68
github.com/posener/complete, Fully Reproducible, ['all'], [], 866
github.com/gogo/protobuf, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5562
github.com/fatih/color, Fully Reproducible, ['all'], [], 6162
github.com/ghodss/yaml, Fully Reproducible, ['all'], [], 872
github.com/hashicorp/errwrap, Fully Reproducible, ['all'], [], 342
github.com/mitchellh/hashstructure, Fully Reproducible, ['all'], [], 693
github.com/hashicorp/hcl, Fully Reproducible, ['all'], [], 4706
github.com/spf13/jwalterweatherman, Fully Reproducible, ['all'], [], 223
github.com/containerd/fifo, Fully Reproducible, ['all'], [], 77
github.com/willf/bitset, Fully Reproducible, ['all'], [], 1108
github.com/segmentio/ksuid, Fully Reproducible, ['all'], [], 4147
github.com/fatih/structs, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3762
github.com/mitchellh/copystructure, Fully Reproducible, ['all'], [], 243
github.com/hashicorp/go-retryablehttp, Fully Reproducible, ['all'], [], 1578
github.com/googleapis/gnostic, Fully Reproducible, ['all'], [], 1440
github.com/oschwald/geoip2-golang, Fully Reproducible, ['all'], [], 1588
github.com/eclipse/paho.mqtt.golang, Fully Reproducible, ['all'], [], 2327
github.com/montanaflynn/stats, Fully Reproducible, ['all'], [], 2773
github.com/imdario/mergo, Fully Reproducible, ['all'], [], 2491
github.com/mitchellh/gox, Fully Reproducible, ['all'], [], 4446
github.com/inconshreveable/log15, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1083
github.com/joho/godotenv, Fully Reproducible, ['all'], [], 6159
github.com/frankban/quicktest, Fully Reproducible, ['all'], [], 462
github.com/golang/glog, Fully Reproducible, ['all'], [], 3331
gopkg.in/tomb.v1, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 340
github.com/magefile/mage, Fully Reproducible, ['all'], [], 3576
github.com/gorilla/sessions, Fully Reproducible, ['all'], [], 2502
github.com/rubenv/sql-migrate, Fully Reproducible, ['all'], [], 2866
go.etcd.io/etcd, Fully Reproducible, ['all'], [], 43902
github.com/go-openapi/spec, Fully Reproducible, ['all'], [], 342
github.com/mgechev/revive, Fully Reproducible, ['all'], [], 4209
go.uber.org/zap, Fully Reproducible, ['all'], [], 17813
github.com/vishvananda/netlink, Fully Reproducible, ['all'], [], 2368
github.com/magiconair/properties, Fully Reproducible, ['all'], [], 283
github.com/nats-io/nats.go, Fully Reproducible, ['all'], [], 4621
github.com/spf13/viper, Fully Reproducible, ['all'], [], 23300
github.com/benbjohnson/clock, Fully Reproducible, ['all'], [], 646
github.com/bgentry/speakeasy, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 106
github.com/prometheus/procfs, Fully Reproducible, ['all'], [], 651
github.com/dave/jennifer, Fully Reproducible, ['all'], [], 2809
github.com/pierrec/lz4, Fully Reproducible, ['all'], [], 767
go.etcd.io/etcd/api/v3, Fully Reproducible, ['all'], [], 43902
github.com/natefinch/lumberjack, Fully Reproducible, ['all'], [], 4132
github.com/masterminds/semver, Fully Reproducible, ['all'], [], 1009
github.com/shirou/gopsutil, Fully Reproducible, ['all'], [], 9200
gopkg.in/ini.v1, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3026
github.com/opencontainers/go-digest, Fully Reproducible, ['all'], [], 128
github.com/securego/gosec, Fully Reproducible, ['all'], [], 6943
cloud.google.com/go/pubsub, Fully Reproducible, ['all'], [], 3326
github.com/gammazero/workerpool, Fully Reproducible, ['all'], [], 892
