,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
118485,642215,Maven,org.igniterealtime.smack:smackx-jingle,2015-02-19 23:11:00 UTC,2018-10-27 14:38:36 UTC,Smack is an Open Source XMPP (Jabber) client library for instant messaging and presence.  This library provides an implementation of the Jingle extensions which provide for a means of multimedia dta transfer between clients.,,http://www.igniterealtime.org/projects/smack/,Apache-2.0,scm:svn:http://svn.igniterealtime.org/svn/repos/smack,1,6,2011-08-17 02:29:18 UTC,3.2.1,,0,,,2016-07-18 13:23:01 UTC,7,
31914,3089389,Maven,dynamic-repeat,2018-06-28 23:52:50 UTC,2018-07-06 22:17:18 UTC,WebJar for dynamic-repeat,,http://webjars.org,MIT,https://github.com/billy-hardy/dynamic-repeat,1,0,2018-02-03 14:10:59 UTC,0.2.0,,0,HTML,,2018-06-28 23:53:16 UTC,0,27368970
180629,960134,Maven,com.twelvemonkeys.imageio:imageio-clippath,2015-09-03 09:03:32 UTC,2018-10-28 04:50:00 UTC, Photoshop Clipping Path Support. ,,http://haraldk.github.io/TwelveMonkeys/,DSDP,scm:git:https://github.com/haraldk/TwelveMonkeys/imageio/imageio-clippath,8,11,2017-02-02 20:38:09 UTC,3.3.2,,0,Java,,2017-06-12 13:13:39 UTC,4,173188
156707,960049,Maven,io.corbel.lib:token,2015-09-03 08:55:09 UTC,2018-10-28 04:49:46 UTC,Authentication tokens Library,,https://github.com/corbel-platform/lib-token,Apache-2.0,https://github.com/corbel-platform/lib-token,3,9,2016-03-11 07:20:25 UTC,0.9.0,,2,Java,,2016-07-18 13:35:29 UTC,3,515105
122785,389572,Maven,com.github.mjeanroy:springmvc-uadetector,2015-01-31 01:02:07 UTC,2018-10-27 02:01:32 UTC,,,https://github.com/mjeanroy/springmvc-uadetector,MIT,https://github.com/mjeanroy/springmvc-uadetector,2,6,2014-10-17 19:42:58 UTC,0.1.1,,0,Java,,2017-10-24 09:15:18 UTC,0,168875
102688,394840,Maven,com.jnape.palatable:dmutex,2015-01-31 01:49:07 UTC,2017-10-24 09:32:22 UTC,Distributed JVM Mutex,,http://github.com/palatable/dmutex,MIT,https://github.com/palatable/dmutex,1,5,2015-01-14 08:50:04 UTC,1.0,,0,Java,,2017-10-24 09:32:10 UTC,0,663553
152851,363107,Maven,org.agorava:agorava-parent,2015-01-30 21:41:16 UTC,2018-10-26 23:22:58 UTC,This artefact provides all dependencies used in all Agorava module,,http://agorava.org,Apache-2.0,https://github.com/agorava/agorava-parent,8,8,2013-11-20 09:55:01 UTC,0.7.0,,0,HTML,,2017-10-24 07:26:18 UTC,0,174835
53760,3087048,Maven,isomorphic-form-data,2018-06-28 23:25:40 UTC,2018-07-21 11:57:51 UTC,WebJar for isomorphic-form-data,,http://webjars.org,MIT,https://github.com/form-data/isomorphic-form-data,1,0,2018-02-24 00:33:46 UTC,0.0.1,,0,JavaScript,,2018-06-28 23:26:21 UTC,0,957115
121921,417801,Maven,ch.cmbntr:eventbus,2015-01-31 05:09:54 UTC,2018-10-27 04:37:31 UTC,A Guava compatible EventBus.,,https://cmbntr.github.com/cmbntr-oss-parent/eventbus,Apache-2.0,https://github.com/cmbntr/eventbus,1,6,2013-01-02 19:28:02 UTC,0.9.0,,0,Java,,2017-05-03 01:15:11 UTC,0,170118
89753,2590357,Maven,com.qcloud:qcloud-image-sdk,2018-01-18 13:07:13 UTC,2018-09-28 03:48:27 UTC,,,,Other,https://github.com/tencentyun/image-java-sdk-v2.0,1,4,2017-04-11 11:57:58 UTC,2.0.1,,0,,,2018-07-02 22:03:58 UTC,3,
84026,386706,Maven,com.54chen:paoding-rose-portal,2015-01-31 00:39:12 UTC,2017-04-29 17:10:57 UTC,Sonatype helps open source projects to set up Maven repositories on https://oss.sonatype.org/,,http://nexus.sonatype.org/oss-repository-hosting.html/paoding-rose-portal,Other,scm:svn:https://code.miliao.com/repos/xiaomi-miliao/tags/paoding-rose-portal-1.0,1,4,2012-06-19 03:36:30 UTC,1.0,,0,,,2017-04-29 17:10:57 UTC,25,
163802,635048,Maven,com.geodevv.testing:irmina,2015-02-19 19:47:26 UTC,2018-10-27 14:16:55 UTC,Spring testing support,,http://irmina.geodevv.com,Apache-2.0,https://github.com/przemekgalazka/irmina,3,9,2015-04-23 11:43:47 UTC,1.0.2,,0,Java,,2016-07-18 13:16:59 UTC,0,275981
7998,3127218,Maven,com.aol.microservices:micro-javaslang,2018-07-02 21:36:15 UTC,2018-09-27 16:50:43 UTC,Opinionated rest microservices,,https://github.com/aol/micro-server,Apache-2.0,https://github.com/aol/micro-server,23,0,2017-05-04 10:26:03 UTC,0.90.6,,0,Java,,,0,530499
176331,343687,Maven,org.schemarepo:schema-repo-parent,2015-01-30 18:15:47 UTC,2018-10-26 22:06:16 UTC,Schema Repository parent project,,http://schemarepo.org,Apache-2.0,https://github.com/schema-repo/schema-repo,3,10,2015-06-16 17:15:14 UTC,0.1.3,,0,Java,,2017-10-24 06:05:16 UTC,0,165918
85800,411111,Maven,org.bluestemsoftware.specification.eoa.ext:dependency-manager-ext-api,2015-01-31 04:10:29 UTC,2017-05-02 07:18:28 UTC,Application Programming Interfaces,,http://treleis.org/apis-trunk/dependency-manager-ext-api,Intel-ACPI,scm:svn:svn://treleis.org/eoa/apis/trunk/dependency-manager-ext-api,6,4,2010-01-04 21:01:46 UTC,0.8.5.0,,1,,,2017-05-02 07:18:28 UTC,0,
116053,399657,Maven,de.flapdoodle.embed:de.flapdoodle.embed.nodejs,2015-01-31 02:30:56 UTC,2017-10-10 17:12:28 UTC,A embedded node.js ...,,http://github.com/flapdoodle-oss/de.flapdoodle.embed.nodejs,Apache-2.0,https://github.com/flapdoodle-oss/de.flapdoodle.embed.nodejs,10,6,2013-10-06 21:18:13 UTC,1.28,,2,Java,,2017-05-01 02:19:29 UTC,1,169361
16452,3079996,Maven,js-rich-marker,2018-06-28 22:10:54 UTC,2018-07-05 11:26:39 UTC,WebJar for js-rich-marker,,http://webjars.org,Apache-2.0,https://github.com/googlemaps/js-rich-marker,1,0,2017-04-06 13:12:15 UTC,1.1.2,,0,JavaScript,,2018-06-28 22:12:03 UTC,0,683842
16553,3063907,Maven,scalams,2018-06-28 19:31:45 UTC,2018-06-29 11:49:56 UTC,scalams,,https://github.com/workingDog/ScalaMS,Apache-2.0,https://github.com/workingDog/ScalaMS,6,0,2017-08-23 09:02:57 UTC,1.3.0,,0,Scala,,2018-06-28 19:35:57 UTC,0,11982505
126765,408621,Maven,org.apache.axis2:axis2-metadata,2015-01-31 03:48:58 UTC,2018-10-27 03:26:16 UTC,JSR-181 and JSR-224 Annotations Processing,,http://axis.apache.org/axis2/java/core/,Apache-2.0,scm:svn:http://svn.apache.org/repos/asf/axis/axis2/java/core/tags/v1.7.3/modules/metadata,23,6,2017-07-30 20:13:35 UTC,1.7.6,,4,,,2017-10-24 10:31:37 UTC,60,
115184,3119070,Maven,com.coxautodev:graphql-java-client,2018-07-02 18:02:40 UTC,2018-09-28 13:37:37 UTC,A client for calling GraphQL services from the JVM.,,http://github.com/Cox-Automotive/graphql-java-client,MIT,https://github.com/Cox-Automotive/graphql-java-client,2,6,2017-02-22 16:31:00 UTC,0.0.2,,0,Kotlin,,2018-07-02 18:05:13 UTC,0,20676316
177433,408438,Maven,com.sksamuel.elasticsearch:elasticsearch-river-neo4j,2015-01-31 03:47:32 UTC,2018-10-27 03:25:40 UTC,A river plugin for elastic search that offers an easy way to index neo4j graph databases,,https://github.com/sksamuel/elasticsearch-river-neo4j,Apache-2.0,https://github.com/sksamuel/elasticsearch-river-neo4j,9,10,2014-06-09 18:58:31 UTC,1.2.1.1,,0,Java,,2017-10-24 10:33:18 UTC,0,169745
67635,422091,Maven,org.dishevelled:dsh-piccolo-sprite,2015-01-31 05:47:32 UTC,2018-10-27 04:58:05 UTC,Piccolo2D sprite nodes and supporting classes.,,http://www.dishevelled.org/piccolo-sprite,LGPL-3.0-only,scm:svn|https://svn.code.sf.net/p/dishevelled/code/tags/dsh-piccolo-sprite-1.0,1,3,2013-12-07 20:35:25 UTC,1.0,,0,,,2017-10-24 11:32:18 UTC,0,
4235,3089248,Maven,deadbolt-scala,2018-06-28 23:51:14 UTC,2018-07-09 00:25:43 UTC,deadbolt-scala,,http://deadbolt.ws,Apache-2.0,https://github.com/schaloner/deadbolt-2-scala,14,0,2017-10-21 17:44:51 UTC,2.6.1,,0,Scala,,2018-06-29 02:04:09 UTC,0,168371
133431,3116222,Maven,com.github.jessemull:microflex-biginteger,2018-07-02 16:48:40 UTC,2018-09-28 22:34:20 UTC,Microplate library for parsing wet lab data.,,https://github.com/jessemull/MicroFlex-BigInteger,Apache-2.0,https://github.com/jessemull/MicroFlex-BigInteger,2,7,2017-03-13 05:37:33 UTC,1.0.1,,0,HTML,,2018-09-27 02:07:44 UTC,0,21553402
67464,353703,Maven,org.apache.sirona:sirona-agent,2015-01-30 20:31:36 UTC,2017-10-24 06:47:23 UTC,,,,Apache-2.0,scm:svn:http://svn.apache.org/repos/asf/incubator/sirona/tags/sirona-0.3-incubating/sirona-agent,3,3,2015-11-03 19:17:44 UTC,0.3-incubating,,0,,,2017-10-24 06:47:20 UTC,0,
95233,2238686,Maven,com.axibase:aggregation-log-filter,2017-04-19 14:16:26 UTC,2018-07-13 15:43:34 UTC,"Log statistics collector is used to gather statistics on errors and warnings in log files and selectively send messages from the logs for fast browsing (no need to go to the server and examine the logs in detail), without any modifications to the application's source code. Using the collected statistics you can monitor the stability of applications on different servers in the long term. You can configure rules to be notified of application errors, which will reduce the time it takes to eliminate the errors. ",,https://github.com/axibase/aggregation-log-filter,Apache-2.0,https://github.com/axibase/aggregation-log-filter,37,5,2018-06-21 06:19:37 UTC,2.0.3,,4,Java,,2018-07-02 22:36:40 UTC,0,3510336
177699,393276,Maven,com.geishatokyo.jetty:jetty-nosql-kvs,2015-01-31 01:35:51 UTC,2018-10-27 02:15:08 UTC,An abstract session manager impl for jetty to store sessions on key-value-store.,,https://github.com/yyuu/jetty-nosql-memcached/jetty-nosql-kvs,Apache-2.0,scm:git:git://github.com/yyuu/jetty-nosql-memcached.git/jetty-nosql-kvs,5,10,2015-07-13 13:50:18 UTC,0.5.0,,0,Java,,2018-01-17 16:07:26 UTC,6,173180
124031,353747,Maven,org.apache.tuscany.sca:tuscany-databinding-sdo,2015-01-30 20:31:55 UTC,2018-10-26 22:47:14 UTC,,,,Apache-2.0,scm:svn:http://svn.apache.org/repos/asf/tuscany/sca-java-2.x/trunk/tuscany-modules/tuscany-databinding-sdo,16,6,2013-09-30 06:38:35 UTC,2.0.1,,4,,,2017-10-24 06:48:26 UTC,3,
69552,411006,Maven,org.ow2.carol.cmi:cmi-assembly-distrib-all,2015-01-31 04:09:41 UTC,2018-10-27 03:33:45 UTC,Cluster Method Invocation,,,LGPL-3.0-only,scm:svn:svn://svn.forge.objectweb.org/svnroot/carol/tags/CMI_2_0_RC2/cmi-assembly/cmi-assembly-distrib/cmi-assembly-distrib-all,1,3,2007-12-14 03:54:32 UTC,2.0-RC2,,0,,,2017-05-02 07:07:39 UTC,0,
86315,389463,Maven,net.sf.testium:testium-selenium-support,2015-01-31 01:01:11 UTC,2018-10-27 02:01:13 UTC,Support classes for the Selenium plugin for Testium,,http://testium.sf.net/,LGPL-3.0-only,scm:git:ssh://testium.git.sourceforge.net/gitroot/testium/testium-selenium-support,4,4,2012-07-25 21:11:48 UTC,0.1.4,,0,,,2017-04-30 00:47:57 UTC,0,
136590,378597,Maven,de.yourinspiration:jexpresso-base-auth,2015-01-30 23:37:38 UTC,2018-10-27 00:46:21 UTC,A library providing basic functionality for authentication.,,https://github.com/Yourinspiration/jexpresso-base-auth,Apache-2.0,https://github.com/Yourinspiration/jexpresso-base-auth,1,7,2014-08-05 08:38:31 UTC,1.0.0,,1,Java,,2017-10-24 08:28:52 UTC,1,175747
137185,335926,Maven,com.jamonapi:jamon,2015-01-30 01:04:25 UTC,2017-10-24 05:34:05 UTC,,,,JSON,scm:git:git://git.code.sf.net/p/jamonapi/jamonapi/jamon,10,7,2015-02-16 15:57:15 UTC,2.81,,13,,,2017-10-24 05:33:52 UTC,170,
167055,412295,Maven,nl.minvenj.nfi.storm:kafka-spout,2015-01-31 04:20:37 UTC,2018-10-27 03:55:43 UTC,Storm spout emitting messages from a Kafka topic,,https://github.com/HolmesNL/kafka-spout,Apache-2.0,https://github.com/HolmesNL/kafka-spout,2,9,2015-10-07 12:32:19 UTC,0.3,,0,Java,,2017-10-24 10:56:18 UTC,12,169890
22698,3119295,Maven,com.github.jhonyscamacho:email-dispatcher,2018-07-02 18:06:21 UTC,2018-07-03 06:21:11 UTC,A bunch of classes that facilitate sending e-mail.,,https://github.com/jhonyscamacho/email-dispatcher,Apache-2.0,https://github.com/jhonyscamacho/email-dispatcher,1,0,2017-05-06 22:59:11 UTC,1.0.0,,0,,,2018-07-03 06:21:07 UTC,0,
120979,387829,Maven,org.webjars:shred,2015-01-31 00:48:11 UTC,2018-10-27 01:46:29 UTC,WebJar for Shred,,http://webjars.org,MIT,https://github.com/webjars/shred,1,6,2013-07-27 16:14:13 UTC,0.8.2,,1,,,2017-04-29 20:24:04 UTC,1,176247
53819,2494390,Maven,org.javadelight:delight-rhino-sandbox,2017-10-17 00:12:49 UTC,2018-09-26 23:04:06 UTC,A safe sandbox for running JavaScript using the Rhino Engine in Java.,,https://github.com/javadelight/delight-rhino-sandbox,"Apache-2.0,MIT,GPL-2.0+",https://github.com/javadelight/delight-rhino-sandbox,1,0,2017-09-29 07:18:37 UTC,0.0.6,,1,,,2017-10-17 00:13:50 UTC,0,
88936,340004,Maven,org.apache.james:james-server-core-api,2015-01-30 17:48:49 UTC,2017-04-24 20:18:56 UTC,The Apache Java Enterprise Mail Server (a.k.a. JAMES Server),,http://james.apache.org/server/head/james-server-core-api/,Apache-2.0,scm:svn:http://svn.apache.org/repos/asf/james/server/tags/james-server-3.0-M2/james-server-core-api,2,4,2010-11-10 17:46:32 UTC,3.0-M2,,0,,,2017-04-24 20:18:56 UTC,2,
136129,404925,Maven,uk.org.retep.microkernel:module,2015-01-31 03:16:42 UTC,2018-10-27 03:14:05 UTC,"The Module API. If used this artifact should be used with the scope         of ""provided"" as at runtime it is included within the Bootstrap.          It allows a 'module' to run at the same level as the main spring kernel.",,http://kenai.com/projects/retepmicrokernel/module,CNRI-Python-GPL-Compatible,scm:hg:http://bitbucket.org/petermount/retepmicrokernel/module/,5,7,2010-05-05 13:26:12 UTC,10.5.1,,5,,,2017-05-01 15:54:56 UTC,0,
88316,335891,Maven,org.glassfish.docs.man:deployment-admin-manpage,2015-01-30 01:04:02 UTC,2017-10-24 05:36:59 UTC,,,,GPL-2.0-with-classpath-exception,scm:svn:svn+ssh://vpo@svn.java.net/glassfish~svn/tags/main-docs-4.1/manpages/manpages-nucleus/deployment-admin-manpage,41,4,2014-08-20 09:05:18 UTC,4.1,,0,,,2017-10-24 05:36:54 UTC,0,
98962,425227,Maven,org.mobicents.servers.jainslee.enablers:xdm-client-DU,2015-01-31 06:13:58 UTC,2018-10-27 05:10:00 UTC,JAIN SLEE XCAP Resource Adaptor Repository,,http://www.restcomm.com/,LGPL-2.1+,https://github.com/RestComm/jain-slee.xcap.git,60,5,2016-07-15 03:20:18 UTC,2.8.59,,0,Java,,2016-07-18 13:14:36 UTC,0,657314
125358,342477,Maven,com.aestasit.infrastructure.winrm:groovy-winrm-client,2015-01-30 18:06:40 UTC,2017-10-24 06:02:49 UTC,Groovy library for connecting to WinRM.,,https://github.com/aestasit/groovy-winrm-client,Apache-2.0,https://github.com/aestasit/groovy-winrm-client,6,6,2015-07-17 19:53:06 UTC,0.6,,1,Groovy,,2017-10-24 06:02:47 UTC,0,873627
118459,396241,Maven,org.neo4j.maven:build-configuration,2015-01-31 02:00:53 UTC,2018-12-21 06:03:07 UTC,Builds the different parent poms and related build helpers.,,http://components.neo4j.org/build-configuration/25.U1,AGPL-3.0,https://github.com/neo4j/parents,16,6,2012-01-25 09:53:48 UTC,25.U1,,0,,,2017-04-30 17:41:51 UTC,0,173182
11764,3270628,Maven,io.polyglotted:aws-common,2018-09-27 00:48:16 UTC,2018-09-29 16:52:15 UTC,Polyglotted Common Utils,,https://github.com/polyglotted/aws-common,Apache-2.0,https://github.com/polyglotted/aws-common,0,0,2018-04-05 12:42:25 UTC,v1.11.309,,0,Java,,,0,34590248
93039,2589282,Maven,com.dji:dji-sdk-provided,2018-01-17 21:05:53 UTC,2018-09-27 01:57:02 UTC,"The DJI Mobile SDK enables you to automate your DJI Product. You can control flight, and many subsystems of the product including the camera and gimbal. Using the Mobile SDK, create a customized mobile app to unlock the full potential of your DJI aerial platform.",,http://www.dji.com/,Other,https://github.com/dji-sdk/Mobile-SDK-Android,7,4,2018-09-04 14:09:08 UTC,4.7.1,,0,Java,,2018-09-26 23:06:28 UTC,13,2294246
176589,344859,Maven,org.kuali.rice:rice-core,2015-01-30 19:23:21 UTC,2018-10-26 22:10:07 UTC,DEPRECATED - see https://github.com/KualiCo/rice for latest Kuali Rice code,,,ECL-2.0,scm:git:git@github.com:kuali/rice.git/rice-middleware/rice-core,77,10,2018-02-15 16:53:03 UTC,2.6.2,,0,Java,,2018-09-26 23:11:54 UTC,0,178355
62314,405421,Maven,org.jvnet.jax-ws-commons:smtp,2015-01-31 03:20:41 UTC,2017-05-01 17:04:13 UTC,,,,Other,scm:svn:https://svn.dev.java.net/svn/jax-ws-common/tags/smtp-1.1,1,2,2010-05-19 10:59:25 UTC,1.1,,0,,,2017-05-01 17:04:13 UTC,0,
127163,960535,Maven,com.xpatterns:xpatterns-spark-api,2015-09-03 10:16:25 UTC,2018-03-01 15:02:48 UTC,The API for Spark-API.         Contains the SparkJob interface that must be extended in order to run jobs on the server.,,https://github.com/Atigeo/xpatterns-spark-api,Apache-2.0,https://github.com/Atigeo/xpatterns-spark-api,4,6,2015-11-20 15:49:35 UTC,4.0.0-cm5-spark131-cdh541,,0,Java,,2016-07-18 13:35:48 UTC,0,865038
139579,348911,Maven,com.spinoco:scalaz-stream-mongodb-spec_2.10,2015-01-30 19:54:56 UTC,2018-10-26 22:22:49 UTC,scalaz-stream-mongodb-spec,,http://spinoco.github.io/scalaz-stream-mongodb,MIT,https://github.com/Spinoco/scalaz-stream-mongodb,1,7,2013-10-22 11:36:49 UTC,0.1.0,,1,Scala,,2017-04-25 18:57:39 UTC,0,166407
94893,961259,Maven,com.hp.autonomy.hod:hod-sso-spring-security,2015-09-03 12:43:57 UTC,2018-10-28 04:53:22 UTC,Library to assist with using HP Haven OnDemand SSO with Spring Security,,https://github.com/hpautonomy/hod-sso-spring-security,MIT,scm:git:git@github.com:hpautonomy/hod-sso-spring-security.git,13,5,2017-02-02 13:34:33 UTC,0.9.0,,2,,,2017-03-27 16:52:55 UTC,3,
43902,3112649,Maven,com.github.saftsau:xREL4J,2018-07-02 14:32:06 UTC,2018-07-02 14:36:43 UTC,Open source Java library for simple usage of the xREL API.,,https://github.com/saftsau/xREL4J,GPL-3.0-only,https://github.com/saftsau/xREL4J,2,0,2018-07-01 14:34:29 UTC,1.1,,0,Java,,2018-07-02 14:36:39 UTC,0,23288200
190053,389999,Maven,com.netflix.exhibitor:exhibitor-core,2015-01-31 01:05:16 UTC,2018-10-27 02:02:53 UTC,exhibitor-core,,https://github.com/Netflix/exhibitor,Apache-2.0,scm:git@github.com:Netflix/exhibitor.git,35,12,2015-12-04 23:19:02 UTC,1.5.6,,1,Java,,2017-06-12 11:48:24 UTC,5,166758
110288,380150,Maven,org.sakaiproject.portal:sakai-portal-render-pack,2015-01-30 23:49:15 UTC,2018-10-27 00:50:52 UTC,,,,ECL-2.0,scm:svn:https://source.sakaiproject.org/svn/portal/tags/portal-base-2.9.3/sakai-portal-render-pack,12,5,2013-08-21 02:47:53 UTC,2.9.3,,0,,,2017-10-24 08:45:29 UTC,0,
126058,368223,Maven,org.ow2.util:util-plan-repository-api,2015-01-30 22:21:25 UTC,2018-10-26 23:49:21 UTC,API for the resource repositories,,http://forge.ow2.org/projects/easybeans/util-modules/util-plan/util-plan-repository/util-plan-repository-api,LGPL-3.0-only,scm:svn:svn+ssh://albertil@svn.forge.objectweb.org/svnroot/easybeans/tags/OW2_UTIL_1_0_37/util-modules/util-plan/util-plan-repository/util-plan-repository-api,29,6,2012-12-19 12:43:39 UTC,1.0.37,,0,,,2017-04-27 19:30:21 UTC,0,
190796,420843,Maven,co.cask.cdap:cdap-cli,2015-01-31 05:36:50 UTC,2018-12-01 13:27:38 UTC,An open source framework for building data analytic applications.,,https://cdap.io,Apache-2.0,scm:git:https://github.com/caskdata/cdap.git/cdap-cli,57,12,2018-03-25 23:18:33 UTC,4.3.4,,1,Java,,2018-07-02 19:31:25 UTC,2,172728
109220,635853,Maven,org.ow2.jonas:jonas-packaging,2015-02-19 20:08:17 UTC,2018-10-27 14:19:27 UTC,,,,LGPL-3.0-only,scm:svn:svn+ssh://svn.forge.objectweb.org/svnroot/jonas/jonas/tags/JONAS_5_3_0/jonas-modules/jonas-services/jonas-packaging,3,5,2013-10-01 11:19:13 UTC,5.3.0,,0,,,2016-07-18 13:17:47 UTC,0,
25597,3092019,Maven,ktfunctional,2018-06-29 00:16:53 UTC,2018-09-27 06:58:36 UTC,KtFunctional,,https://github.com/rarnu/ktfunctional,GPL-3.0-only,https://github.com/rarnu/ktfunctional,12,0,2018-06-21 07:42:21 UTC,0.2.2,,0,Kotlin,,2018-06-29 00:21:41 UTC,0,34505898
95820,389974,Maven,de.holisticon.dependencies:junit-mockito,2015-01-31 01:05:02 UTC,2017-10-10 23:55:35 UTC,Please refer to https://github.com/holisticon/java-test-deps.,,https://github.com/holisticon/java-test-deps,BSD-3-Clause,https://github.com/holisticon/java-test-deps,1,5,2013-06-18 09:44:06 UTC,1.0,,1,,,2017-04-30 02:12:39 UTC,1,173637
105062,650508,Maven,com.googlecode.playn:playn-payments-project,2015-02-20 02:41:01 UTC,2018-10-27 15:05:27 UTC,The PlayN Payments Project,,,Other,scm:git:https://code.google.com/p/playn/playn-payments-project/,17,5,2013-12-24 23:43:46 UTC,1.8,,0,,,2016-07-18 13:31:38 UTC,0,
149075,651795,Maven,com.javax0.scriapt:scriapt,2015-02-20 03:13:37 UTC,2018-10-27 15:10:05 UTC,Annotation processor starting external script during compilation,,http://maven.apache.org,Apache-2.0,https://github.com/verhas/scriapt,1,8,2013-09-01 13:03:21 UTC,1.0.0,,0,Java,,2016-07-18 13:33:22 UTC,0,277977
25394,3086866,Maven,spur-framework,2018-06-28 23:23:50 UTC,2018-07-06 10:17:58 UTC,Spur framework,,http://github.com/icha024/spur,Apache-2.0,https://github.com/icha024/spur,1,0,2017-04-14 17:54:18 UTC,0.0.3,,0,Java,,2018-06-28 23:28:05 UTC,0,23194499
13315,3064980,Maven,default-e18498,2018-06-28 19:46:01 UTC,2018-07-14 10:12:50 UTC,default-e18498,,http://github.com/ensime/pcplod,Apache-2.0,https://github.com/ensime/pcplod,2,0,2016-12-10 16:13:39 UTC,1.2.0,,0,Scala,,2018-06-28 19:46:38 UTC,0,12332280
116945,368445,Maven,com.voodoodyne.trivet:trivet,2015-01-30 22:23:11 UTC,2017-09-02 09:37:21 UTC,A trivial remoting protocol based on Java serialization and HTTP.,,https://github.com/stickfigure/trivet/,MIT,https://github.com/stickfigure/trivet,1,6,2013-07-21 19:41:13 UTC,1.0,,0,Java,,2017-04-27 20:09:59 UTC,0,337048
